epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
29,177.168,0.28391,6.38715,0.3533,0.26929,1.03614,0.99126,1,0.995,0.95656,0.46805,0.47059,0.28302,0.05344,0.3974,5.91987,0.32236,0.30735,0.74708,0.0008912,0.0008912,0.0008912
30,183.474,0.27193,6.17734,0.35202,0.25989,1.00756,0.99768,1,0.995,0.96247,0.29339,0.29412,0.13126,0.01998,0.35526,5.74331,0.31483,0.29853,0.72081,0.0008516,0.0008516,0.0008516
31,189.509,0.27655,6.22751,0.33388,0.25923,1.02839,0.99844,1,0.995,0.96073,0.44067,0.44118,0.31355,0.06787,0.57005,5.85477,0.31624,0.35936,0.9741,0.000812,0.000812,0.000812
32,195.758,0.23986,5.80042,0.32814,0.25737,1.00233,0.99837,1,0.995,0.96147,0.20555,0.20588,0.13639,0.02521,0.45249,5.61454,0.27824,0.35552,0.83085,0.0007724,0.0007724,0.0007724
33,201.743,0.25147,5.50862,0.30173,0.25495,0.97662,0.99839,1,0.995,0.95818,0.4111,0.41176,0.25073,0.05601,0.40682,6.12337,0.28785,0.32712,0.77416,0.0007328,0.0007328,0.0007328
34,207.745,0.26143,5.76657,0.3162,0.25077,1.01656,0.99822,1,0.995,0.96932,0.49911,0.5,0.35323,0.07313,0.31148,4.99349,0.26446,0.28472,0.71836,0.0006932,0.0006932,0.0006932
35,213.961,0.24102,5.59568,0.28788,0.23656,1.0211,0.99857,1,0.995,0.97579,0.24092,0.23529,0.15349,0.03865,0.36064,6.23343,0.24722,0.29261,0.75429,0.0006536,0.0006536,0.0006536
36,219.959,0.25121,6.16446,0.29809,0.24356,1.00721,0.99692,1,0.995,0.94884,0.46911,0.47059,0.30362,0.0737,0.39718,4.77883,0.24349,0.29365,0.78872,0.000614,0.000614,0.000614
37,225.924,0.25429,5.88393,0.2827,0.25765,1.00433,0.99836,1,0.995,0.97651,0.55814,0.55882,0.42087,0.10993,0.32668,4.78972,0.24862,0.26327,0.69287,0.0005744,0.0005744,0.0005744
38,232.146,0.23956,5.37533,0.27356,0.23347,0.98954,0.99842,1,0.995,0.97628,0.61667,0.61765,0.52114,0.12633,0.39011,4.24211,0.24989,0.29017,0.74713,0.0005348,0.0005348,0.0005348
39,238.354,0.23483,5.35414,0.28166,0.22516,1.0016,0.99836,1,0.995,0.97388,0.58753,0.58824,0.47742,0.12038,0.3963,4.73312,0.23427,0.31696,0.75199,0.0004952,0.0004952,0.0004952
40,244.374,0.2279,5.07426,0.25625,0.23149,0.98119,0.99834,1,0.995,0.97292,0.70873,0.70588,0.63791,0.13156,0.38168,4.67921,0.24734,0.31762,0.73274,0.0004556,0.0004556,0.0004556
41,264.966,0.23947,4.96406,0.25933,0.23022,0.99211,0.99845,1,0.995,0.98412,0.68898,0.67647,0.58255,0.19585,0.32758,3.79718,0.22896,0.27645,0.6842,0.000416,0.000416,0.000416
42,271.26,0.22301,4.85154,0.25967,0.22535,0.9761,0.99852,1,0.995,0.96099,0.64698,0.64706,0.56283,0.15625,0.39265,4.48316,0.22742,0.30286,0.73303,0.0003764,0.0003764,0.0003764
43,277.257,0.21958,4.68113,0.25666,0.21796,0.99765,0.99846,1,0.995,0.9678,0.76352,0.76471,0.68037,0.19021,0.35307,3.84162,0.20776,0.28099,0.71021,0.0003368,0.0003368,0.0003368
44,283.261,0.21654,4.62857,0.24834,0.21771,0.97638,0.99844,1,0.995,0.97891,0.79288,0.79412,0.72351,0.18563,0.33958,3.7598,0.20815,0.27547,0.68774,0.0002972,0.0002972,0.0002972
45,289.524,0.20954,4.70993,0.25258,0.2093,0.96975,0.99846,1,0.995,0.97944,0.73416,0.73529,0.67732,0.21558,0.34689,3.86981,0.19776,0.30862,0.68313,0.0002576,0.0002576,0.0002576
46,295.802,0.21173,4.6065,0.24565,0.20993,0.96923,0.99847,1,0.995,0.97785,0.70487,0.70588,0.62405,0.1928,0.34055,3.79669,0.20188,0.29301,0.68746,0.000218,0.000218,0.000218
47,301.846,0.19826,4.67302,0.23987,0.20139,0.97677,0.99847,1,0.995,0.98227,0.79288,0.79412,0.74395,0.23722,0.31954,3.55849,0.19924,0.27671,0.67433,0.0001784,0.0001784,0.0001784
48,308.091,0.21043,4.21325,0.23599,0.20585,0.9742,0.9985,1,0.995,0.98472,0.8227,0.82353,0.77939,0.27077,0.34656,3.41795,0.19978,0.29985,0.70921,0.0001388,0.0001388,0.0001388
49,314.344,0.20591,4.1409,0.2322,0.19961,0.9636,0.99853,1,0.995,0.9847,0.85238,0.85294,0.82325,0.29767,0.33099,3.35025,0.20018,0.27434,0.68151,9.92e-05,9.92e-05,9.92e-05
50,320.69,0.20096,4.15223,0.24234,0.1953,0.9767,0.99852,1,0.995,0.9847,0.85264,0.85294,0.83002,0.29138,0.32605,3.33518,0.19588,0.27419,0.67066,5.96e-05,5.96e-05,5.96e-05
